id_usuario,nombre,correo,telefono,ciudad,departamento,industria,proyecto_activo,seguidores,inversion_total,fecha_registro,nivel_riesgo,edad,genero,experiencia_anios,mentor,tiene_equipo,patente_registrada,premios_ganados,fuente_financiamiento,inversion_angel,inversion_vc,inversion_gobierno,ingresos_mensuales,gastos_mensuales,margen_bruto,clientes_activos,churn_rate,nps_score,tiempo_desarrollo_meses,tecnologia_principal,lenguaje_programacion,base_datos,cloud_provider,usuarios_diarios,sesiones_dia,tiempo_promedio_sesion_min,tasa_conversion,costo_adquisicion,valor_vida_cliente,retorno_inversion,burn_rate,runway_meses,valoracion_actual,ronda_actual,objetivo_ronda,equity_ofrecido,pitch_deck_url,video_pitch_url,estado_validacion
11,María Amaya Pulido,davidnavarro@example.org,57 326 400 12 91,Cali,Atlántico,E-commerce,True,5028,617437.34,2023-07-21,Alto,40,M,14,False,False,False,3,Angel,153352.2,555614.78,191966.4,368244.76,263813.22,29.87,2745,3.71,92,18,IA,JavaScript,PostgreSQL,Google Cloud,210,777,8.1,7.39,426.37,821.0,177.94,64827.71,15,35945461.18,Serie B,2497166.99,11.1,https://conecta-crece.com/pitch/11,https://youtube.com/watch?v=pitch11,Idea
12,Enrique Torres Rueda,davidmesa@example.net,573067686125,Bogotá,Atlántico,Edtech,True,8536,893196.53,2023-05-07,Alto,51,M,18,True,True,False,1,Gobierno,200273.32,691524.72,119090.46,475069.76,356657.23,52.89,4135,13.38,40,31,Móvil,Go,Firebase,Azure,2035,13780,19.49,11.6,265.44,6304.81,101.03,12360.92,21,11801229.54,Serie A,1632562.36,18.5,https://conecta-crece.com/pitch/12,https://youtube.com/watch?v=pitch12,MVP
13,Albert Martínez,pvargas@example.com,573208576970,Barranquilla,Antioquia,SaaS,True,1102,155076.5,2025-08-26,Medio,48,F,11,False,False,True,1,Gobierno,116843.04,538857.04,189212.41,10746.45,352358.14,50.3,3907,1.17,-10,22,Blockchain,Go,PostgreSQL,DigitalOcean,1807,4491,13.64,0.92,174.7,6823.5,172.37,20679.25,32,45985126.87,Pre-semilla,4539297.87,19.8,https://conecta-crece.com/pitch/13,https://youtube.com/watch?v=pitch13,Idea
14,Angélica Rojas Herrera,esther25@example.net,6094975102,Barranquilla,Antioquia,IA,False,3027,88527.72,2022-12-01,Bajo,25,F,13,False,True,False,2,VC,228368.91,265388.35,150401.96,416130.22,101506.8,15.73,158,22.72,-87,25,Móvil,Python,MySQL,AWS,2035,3286,25.34,9.51,126.89,4788.25,12.91,95036.92,32,35003302.07,Serie A,880556.26,20.18,https://conecta-crece.com/pitch/14,https://youtube.com/watch?v=pitch14,Idea
15,Efrén Javier Cerón Giraldo,murilloibeth@example.net,3155361631,Medellín,Valle del Cauca,Fintech,True,5161,778902.93,2023-01-07,Alto,46,F,23,True,True,True,0,VC,255087.97,420288.13,24211.01,491938.33,313228.03,34.3,3509,20.18,-83,35,IA,Python,Firebase,DigitalOcean,874,7122,28.86,9.72,416.07,7102.36,189.52,74710.55,20,30834026.47,Serie B,2351125.17,25.64,https://conecta-crece.com/pitch/15,https://youtube.com/watch?v=pitch15,Producto
16,Jesús Rodríguez,james01@example.org,(+57)3193941420,Medellín,Cundinamarca,Healthtech,False,4045,325693.06,2023-01-08,Medio,51,Otro,20,False,False,True,3,VC,54551.96,148483.9,159566.47,170829.08,352223.74,59.08,2263,17.12,32,15,Web,JavaScript,Firebase,DigitalOcean,4558,12441,7.97,7.4,358.8,4536.93,-40.52,32952.38,28,34620179.05,Serie A,3336602.11,14.23,https://conecta-crece.com/pitch/16,https://youtube.com/watch?v=pitch16,Producto
17,Alicia Giraldo,guzmanyeny@example.org,+573127542862,Bucaramanga,Valle del Cauca,Healthtech,False,4488,428376.29,2023-08-12,Medio,41,F,8,True,True,False,0,Crowdfunding,285263.27,483114.49,38308.19,369563.72,111178.65,51.27,4297,18.31,-75,15,IA,JavaScript,MongoDB,Google Cloud,2486,251,21.53,2.34,32.3,639.81,110.68,94688.51,34,5219123.57,Pre-semilla,2891617.89,16.73,https://conecta-crece.com/pitch/17,https://youtube.com/watch?v=pitch17,Escalando
18,Manuel Alberto Domínguez Pacheco,diazcamila@example.org,018006941699,Bogotá,Valle del Cauca,IA,False,1919,344002.4,2025-04-16,Medio,26,F,16,True,True,True,1,Crowdfunding,284737.69,59626.64,49638.19,279478.44,166936.67,51.73,1848,23.5,-3,31,Blockchain,Java,Firebase,Azure,4668,10194,2.75,14.42,58.62,7651.1,294.03,30141.38,8,7937148.96,Semilla,2782361.62,8.91,https://conecta-crece.com/pitch/18,https://youtube.com/watch?v=pitch18,Escalando
19,Concepción Restrepo Gómez,iarroyo@example.org,+57 608 621 09 23,Cartagena,Atlántico,Healthtech,True,3842,453251.19,2025-06-04,Medio,40,Otro,10,False,True,True,2,Crowdfunding,198354.91,653567.92,85027.79,272736.63,259335.78,73.59,1165,3.07,-58,22,IoT,Rust,MongoDB,DigitalOcean,1028,7699,20.97,10.65,471.91,5054.67,221.59,12641.98,5,44482202.18,Serie A,3038382.52,5.65,https://conecta-crece.com/pitch/19,https://youtube.com/watch?v=pitch19,MVP
20,José Alonso Ballesteros,andrespena@example.com,300 071 12 91,Cartagena,Cundinamarca,IA,False,9491,962101.55,2023-07-18,Alto,24,M,16,False,False,True,4,Gobierno,190435.42,344208.06,18248.48,174632.57,133856.71,56.91,1317,10.56,77,34,IA,Go,MySQL,DigitalOcean,731,5173,8.32,2.18,388.55,8662.61,403.71,5109.35,32,20721053.78,Semilla,2616274.99,20.57,https://conecta-crece.com/pitch/20,https://youtube.com/watch?v=pitch20,Escalando
21,Eugenia Beltrán,nosorio@example.com,(+57)3148181934,Bogotá,Antioquia,Healthtech,True,4769,627281.7,2025-08-17,Alto,50,Otro,16,True,True,True,5,Angel,93225.04,9572.13,81598.14,113125.63,336689.15,17.94,962,19.78,-61,34,IA,Rust,MongoDB,DigitalOcean,3962,7756,8.07,8.49,197.96,9226.49,229.53,88535.99,7,13884745.4,Serie B,1732382.45,24.69,https://conecta-crece.com/pitch/21,https://youtube.com/watch?v=pitch21,Producto
22,Sandra Valencia,alcides56@example.net,3007773271,Cali,Valle del Cauca,IA,False,2484,821446.73,2023-02-02,Alto,50,Otro,16,False,False,False,3,VC,260880.5,686542.24,47761.11,192102.45,342520.38,38.75,2606,22.6,80,27,Blockchain,JavaScript,Firebase,AWS,1044,8249,29.0,5.31,59.18,8465.89,4.84,91491.96,3,36149947.0,Serie B,4361118.21,29.25,https://conecta-crece.com/pitch/22,https://youtube.com/watch?v=pitch22,Idea
23,Laura Fernanda Trujillo Riascos,florezfabian@example.net,57 318 514 29 83,Cali,Valle del Cauca,E-commerce,False,1365,472143.15,2023-02-08,Medio,43,Otro,18,False,False,False,4,Bootstrapped,185237.84,164339.17,136879.91,144402.12,91612.52,16.33,806,23.05,80,9,Blockchain,JavaScript,MongoDB,AWS,386,5334,24.09,4.75,193.67,1541.14,242.14,58763.17,14,8582184.09,Pre-semilla,3066984.35,14.56,https://conecta-crece.com/pitch/23,https://youtube.com/watch?v=pitch23,MVP
24,Hernando Jaime Medina Nieto,maria37@example.org,7999058,Cartagena,Antioquia,Edtech,False,4211,500178.92,2023-07-24,Alto,51,F,22,True,False,False,5,Crowdfunding,47392.69,309210.85,69113.12,294198.28,255864.33,39.7,2048,14.25,-23,15,Blockchain,Go,MySQL,Google Cloud,3134,9390,11.41,4.79,352.65,317.2,406.52,42601.55,3,28339857.95,Pre-semilla,4557553.92,23.63,https://conecta-crece.com/pitch/24,https://youtube.com/watch?v=pitch24,Producto
25,Diego René Alvarado,anapena@example.com,324 872 61 30,Medellín,Valle del Cauca,Edtech,True,4156,776862.27,2022-11-07,Alto,30,Otro,4,True,False,False,0,Crowdfunding,109458.37,91988.26,181925.56,164032.84,166668.83,24.06,4418,26.42,-7,36,IoT,Java,PostgreSQL,Azure,3957,13233,9.56,13.12,404.07,4736.48,-8.59,76644.39,17,43021015.79,Serie B,4837985.25,25.11,https://conecta-crece.com/pitch/25,https://youtube.com/watch?v=pitch25,Producto
26,David Méndez Pérez,njaramillo@example.org,858 65 00,Barranquilla,Cundinamarca,Healthtech,True,7501,94851.36,2023-02-26,Bajo,45,Otro,24,False,False,False,0,Angel,141443.06,433682.81,188633.83,164675.13,244344.81,55.34,3803,27.37,-23,29,Web,JavaScript,MySQL,AWS,2503,8091,4.37,3.9,273.4,3947.59,154.06,95191.17,29,29408283.24,Semilla,4432798.23,21.37,https://conecta-crece.com/pitch/26,https://youtube.com/watch?v=pitch26,Escalando
27,Rosa Yury Rodríguez Soto,albarojas@example.org,3239938294,Cali,Cundinamarca,SaaS,False,3609,617573.95,2025-01-19,Alto,50,F,8,False,True,False,4,VC,18165.03,193117.01,193641.38,474556.38,329817.08,16.42,1737,19.61,52,4,Web,Java,PostgreSQL,Google Cloud,4635,3382,2.99,11.59,111.51,2237.92,428.33,36213.16,12,39453323.34,Pre-semilla,1422510.49,29.6,https://conecta-crece.com/pitch/27,https://youtube.com/watch?v=pitch27,MVP
28,Dora Salamanca,rmeneses@example.net,325 201 46 95,Medellín,Cundinamarca,SaaS,True,2209,542514.38,2023-07-03,Alto,22,F,8,False,True,True,2,Bootstrapped,38027.56,294672.39,22729.86,32715.46,179751.47,35.34,4863,4.16,28,17,IoT,Python,MongoDB,DigitalOcean,265,1016,29.96,12.79,218.87,1168.82,341.82,47138.42,8,16173379.81,Semilla,375127.05,11.88,https://conecta-crece.com/pitch/28,https://youtube.com/watch?v=pitch28,Producto
29,Wilmer Eder Gómez,alixhurtado@example.net,573278841835,Cartagena,Valle del Cauca,Agrotech,False,1674,383999.88,2023-01-26,Medio,29,Otro,21,True,False,False,1,Gobierno,101679.49,317449.23,83197.93,48447.83,171164.19,56.56,3066,28.65,75,33,Web,Python,MySQL,AWS,3547,1602,22.59,5.9,73.76,693.81,476.14,58359.92,10,20599350.78,Serie B,4347056.14,23.03,https://conecta-crece.com/pitch/29,https://youtube.com/watch?v=pitch29,Producto
30,Paola Patricia López Rodríguez,omar93@example.com,+57 319 358 88 71,Cali,Cundinamarca,E-commerce,True,2585,602408.04,2025-05-25,Alto,52,M,4,False,False,True,2,Crowdfunding,67847.73,300378.69,112193.14,383948.83,248992.14,57.25,4560,1.76,68,20,Web,JavaScript,MongoDB,Azure,2793,5771,1.18,13.11,287.5,4067.77,28.03,65151.34,4,4678708.38,Semilla,1912162.31,16.34,https://conecta-crece.com/pitch/30,https://youtube.com/watch?v=pitch30,MVP
31,Hernando Navarro,frios@example.net,3098105987,Bucaramanga,Valle del Cauca,IA,True,911,373202.83,2024-06-22,Medio,31,M,25,True,True,False,3,Gobierno,145698.51,309430.93,54633.37,377716.63,46235.95,40.09,2320,20.67,51,34,IoT,Java,MySQL,Google Cloud,3247,9839,2.59,3.46,473.21,7696.76,370.29,32497.48,10,485722.34,Serie B,919689.27,14.51,https://conecta-crece.com/pitch/31,https://youtube.com/watch?v=pitch31,MVP
32,John Orlando Gutiérrez Vargas,palacioyuliana@example.com,57 309 250 36 00,Bucaramanga,Valle del Cauca,Fintech,False,743,502761.03,2023-07-16,Alto,49,M,15,True,False,False,4,Gobierno,212849.69,292385.77,23034.67,11407.42,130447.46,66.09,3769,25.13,-8,8,Blockchain,Python,PostgreSQL,DigitalOcean,4834,6580,16.19,6.24,162.03,3461.18,133.19,20972.61,35,31697910.88,Semilla,4534317.52,13.73,https://conecta-crece.com/pitch/32,https://youtube.com/watch?v=pitch32,MVP
33,Eduardo Jaramillo Quintero,angelica83@example.net,573282128209,Medellín,Valle del Cauca,Edtech,True,9919,240087.5,2024-04-25,Medio,31,Otro,3,True,False,False,4,Crowdfunding,134671.58,646907.98,112898.36,318013.86,250109.09,70.5,2589,5.38,-83,33,Blockchain,Java,MongoDB,AWS,2893,8332,3.15,7.2,28.43,3750.5,107.89,66243.31,8,30788918.58,Serie B,2340422.71,18.86,https://conecta-crece.com/pitch/33,https://youtube.com/watch?v=pitch33,Idea
34,Rosa Rodríguez Calderón,rinconines@example.com,+57 309 798 97 26,Cartagena,Antioquia,Healthtech,False,8264,452485.04,2023-11-21,Medio,31,M,15,True,False,True,4,Angel,11742.64,495335.19,198197.2,262510.21,244234.32,35.47,2317,12.24,98,24,IoT,Python,MongoDB,AWS,2710,1568,17.18,6.11,133.48,8530.51,480.43,62256.58,12,16734765.6,Semilla,4587894.95,12.76,https://conecta-crece.com/pitch/34,https://youtube.com/watch?v=pitch34,Escalando
35,Franklin Romero Pérez,juanlopez@example.net,3146902871,Bucaramanga,Cundinamarca,Healthtech,False,5431,133306.9,2025-03-17,Medio,30,Otro,23,True,False,False,0,VC,92659.82,665818.52,68346.47,383311.95,77448.49,80.0,1269,3.24,-75,35,IoT,Rust,MySQL,Azure,1083,9805,11.92,2.85,417.36,7733.87,394.97,20726.22,31,2280252.15,Serie A,3397996.46,10.94,https://conecta-crece.com/pitch/35,https://youtube.com/watch?v=pitch35,Escalando
36,Óscar Néstor Moreno,davidtamayo@example.net,+57 605 358 07 94,Bucaramanga,Atlántico,Edtech,True,5120,612542.45,2025-08-05,Alto,52,M,12,False,False,False,3,Crowdfunding,158237.94,676387.71,163378.25,400828.35,56048.7,27.5,3936,26.35,41,9,IoT,Python,MongoDB,AWS,1323,4489,14.03,7.94,417.21,1007.96,450.78,82586.81,25,46530549.16,Serie B,313621.59,17.55,https://conecta-crece.com/pitch/36,https://youtube.com/watch?v=pitch36,MVP
37,Jesús Ricardo Palacio Moreno,jose73@example.net,3058620690,Bogotá,Valle del Cauca,Edtech,True,5271,389235.29,2022-11-21,Medio,28,Otro,21,False,True,True,0,VC,275218.85,330718.45,166222.1,379661.74,188068.76,53.07,649,1.55,-45,12,IoT,Rust,Firebase,AWS,2370,3913,9.73,1.19,215.71,7959.6,201.41,15531.5,34,29877278.24,Pre-semilla,3178176.96,19.38,https://conecta-crece.com/pitch/37,https://youtube.com/watch?v=pitch37,MVP
38,Juliana Marcela Vergara,guevararubiela@example.net,(+57)3042394635,Bogotá,Valle del Cauca,Edtech,False,3118,294815.63,2023-12-19,Medio,27,Otro,12,True,True,False,3,Bootstrapped,190701.24,686727.6,50730.05,9104.87,315577.19,34.14,849,23.37,88,24,Móvil,Python,MongoDB,Azure,1444,13625,23.6,7.24,350.74,6354.18,396.32,10994.55,32,1945491.13,Semilla,266841.06,9.99,https://conecta-crece.com/pitch/38,https://youtube.com/watch?v=pitch38,Idea
39,Omar Hurtado,ualzate@example.net,57 321 453 51 84,Cali,Atlántico,IA,False,4200,319017.84,2025-01-10,Medio,24,Otro,7,False,False,True,5,VC,81964.98,559539.69,87390.28,200610.87,176342.86,76.95,2777,29.24,27,34,IA,Rust,MongoDB,AWS,3487,1313,13.49,14.93,98.42,3008.29,6.43,36152.39,21,15394143.22,Serie B,874891.62,16.1,https://conecta-crece.com/pitch/39,https://youtube.com/watch?v=pitch39,Escalando
40,Alexandra Carolina Torres,qrojas@example.com,+573160173901,Cali,Atlántico,Healthtech,True,1279,47143.39,2023-11-25,Bajo,47,F,17,True,True,True,4,Gobierno,10439.69,47063.35,155703.07,183797.91,153635.48,49.71,4956,5.45,15,26,IA,Go,MySQL,Google Cloud,4347,6032,12.54,9.92,132.31,1223.14,354.62,52409.18,27,45685771.04,Pre-semilla,1345794.55,11.51,https://conecta-crece.com/pitch/40,https://youtube.com/watch?v=pitch40,Escalando
41,Karen Valentina Ríos,sandradelgado@example.net,6055497107,Cartagena,Valle del Cauca,SaaS,False,3329,218497.57,2025-04-27,Medio,29,M,3,False,True,False,0,VC,200351.94,496678.34,109999.43,145890.78,120542.71,21.03,1426,24.02,30,17,Web,JavaScript,PostgreSQL,Google Cloud,4057,450,11.47,8.8,239.03,9831.82,21.37,89003.41,7,15533606.8,Serie B,2652193.49,24.23,https://conecta-crece.com/pitch/41,https://youtube.com/watch?v=pitch41,Idea
42,Richard Felix Arenas Castillo,alvaro03@example.org,+573174670917,Cali,Cundinamarca,Agrotech,False,8526,129700.15,2025-07-23,Medio,44,M,25,True,True,False,4,Bootstrapped,249417.24,362671.49,60824.91,81821.51,373947.34,25.78,4250,26.95,-80,19,Móvil,Rust,MongoDB,Google Cloud,2490,10086,16.47,7.79,92.63,9421.91,34.81,67579.62,24,42142247.21,Pre-semilla,4134919.52,5.71,https://conecta-crece.com/pitch/42,https://youtube.com/watch?v=pitch42,Idea
43,Jonathan Rentería Torres,phenao@example.com,018006048517,Cartagena,Valle del Cauca,SaaS,True,9423,948804.12,2025-05-15,Alto,48,Otro,21,True,False,False,5,VC,144883.45,563281.71,136998.17,149419.5,29930.83,14.19,3601,13.05,18,16,IA,Rust,PostgreSQL,Azure,2625,12049,29.65,5.51,205.37,7630.58,233.24,15087.47,18,23376981.1,Serie A,2275500.26,8.52,https://conecta-crece.com/pitch/43,https://youtube.com/watch?v=pitch43,Idea
44,Diego Castro,stivenmora@example.com,018002200609,Barranquilla,Atlántico,Edtech,True,5414,293760.94,2024-06-18,Medio,42,M,25,True,False,False,3,VC,149211.08,63034.37,78648.44,229158.09,96898.87,50.83,398,2.47,26,33,IA,Rust,MySQL,AWS,3540,2214,26.59,11.05,384.29,3722.78,170.32,59176.76,15,18189936.42,Serie A,413982.16,17.61,https://conecta-crece.com/pitch/44,https://youtube.com/watch?v=pitch44,Producto
45,Juan Jhon García,fuentesmaria@example.com,+57 313 963 70 95,Cartagena,Cundinamarca,Edtech,True,6503,826184.76,2024-04-06,Alto,45,F,18,False,True,True,4,Crowdfunding,120416.13,28178.43,7782.79,357082.33,321743.17,46.35,1220,18.58,31,11,IA,Rust,MongoDB,Google Cloud,3229,10120,22.44,4.84,174.82,8300.06,242.79,72330.28,22,23797140.74,Pre-semilla,1873371.16,21.85,https://conecta-crece.com/pitch/45,https://youtube.com/watch?v=pitch45,Escalando
46,Erick Burbano,medinaabel@example.org,+573071907620,Bucaramanga,Cundinamarca,E-commerce,False,4400,585783.63,2025-04-10,Alto,36,Otro,2,False,True,False,1,Angel,9471.15,663743.62,21979.1,10449.75,126026.04,20.6,1670,12.9,98,33,Web,JavaScript,PostgreSQL,Azure,3928,8629,11.93,14.37,235.24,5377.96,250.45,69207.51,19,30542821.35,Semilla,4788820.11,11.98,https://conecta-crece.com/pitch/46,https://youtube.com/watch?v=pitch46,Producto
47,Inés Esperanza Arévalo Riascos,gerardo39@example.org,(+57)3096965213,Cali,Valle del Cauca,SaaS,True,8061,228742.7,2024-05-02,Medio,42,F,12,False,False,True,4,Crowdfunding,113908.26,686112.38,163675.49,477349.82,322002.64,30.33,2356,28.7,-80,25,Blockchain,Java,Firebase,Google Cloud,1665,13585,16.62,14.03,351.12,1459.0,288.62,60748.9,18,2633194.95,Semilla,3207825.64,6.31,https://conecta-crece.com/pitch/47,https://youtube.com/watch?v=pitch47,Escalando
48,Adalberto Espitia,ospinamartin@example.com,573241137198,Barranquilla,Cundinamarca,SaaS,True,134,333642.16,2023-12-08,Medio,32,F,21,False,False,True,2,VC,85624.6,41413.81,153745.0,326497.07,93502.3,61.71,305,27.48,-56,29,Móvil,Python,Firebase,DigitalOcean,1536,12291,28.9,13.93,439.6,191.74,262.38,15193.57,24,14299626.45,Serie B,4451836.82,8.35,https://conecta-crece.com/pitch/48,https://youtube.com/watch?v=pitch48,Escalando
49,Michael Antonio Marín,luis64@example.org,(+57) 315 995 77 63,Bogotá,Valle del Cauca,Edtech,False,4265,276472.9,2025-04-25,Medio,33,M,24,False,False,True,1,Crowdfunding,256843.95,627929.93,165397.97,258125.05,35425.72,56.85,1513,29.47,22,23,Móvil,Python,MongoDB,DigitalOcean,1939,7339,22.86,14.33,157.95,7256.54,-43.71,67099.92,18,3200004.16,Pre-semilla,2353705.21,8.99,https://conecta-crece.com/pitch/49,https://youtube.com/watch?v=pitch49,Producto
50,Raúl Díaz Rojas,murillocandelaria@example.net,3059171877,Bucaramanga,Valle del Cauca,Healthtech,True,3640,691838.93,2024-10-05,Alto,30,F,5,False,False,False,5,Crowdfunding,273839.07,530145.37,160399.0,412976.15,304934.36,57.62,4880,26.32,-80,36,Blockchain,Rust,MongoDB,AWS,4631,1858,2.79,8.44,257.69,5769.75,32.42,36171.18,36,22147843.58,Semilla,3598743.93,17.22,https://conecta-crece.com/pitch/50,https://youtube.com/watch?v=pitch50,Escalando
51,Manuel Luis Orjuela Leal,andreabernal@example.org,(+57)6058747847,Barranquilla,Antioquia,E-commerce,False,7534,809648.62,2022-11-23,Alto,25,Otro,15,False,True,False,2,Bootstrapped,223741.34,404817.89,9057.96,172919.9,26252.96,79.59,565,29.6,20,5,IA,Go,PostgreSQL,Google Cloud,3453,6155,29.79,6.05,436.11,9077.0,156.61,69859.38,11,32711351.51,Serie A,637234.18,29.82,https://conecta-crece.com/pitch/51,https://youtube.com/watch?v=pitch51,Escalando
52,Carlos Iván Ramírez,luiscordoba@example.com,3012544704,Bucaramanga,Antioquia,IA,True,422,531198.33,2025-05-19,Alto,41,F,22,False,False,True,1,Gobierno,103847.92,192954.81,187482.07,362786.95,45847.58,66.66,3434,18.83,-96,18,Móvil,Python,MySQL,AWS,3667,9814,20.49,13.15,129.92,537.94,191.43,56277.18,6,7092765.2,Serie A,1209099.51,27.91,https://conecta-crece.com/pitch/52,https://youtube.com/watch?v=pitch52,Producto
53,Catalina Ángel,sierramaria@example.net,01 8005 998 467,Bucaramanga,Valle del Cauca,Edtech,False,2397,579587.44,2025-01-20,Alto,55,M,14,False,False,True,4,Crowdfunding,263914.17,638104.37,125198.63,214173.09,198651.82,78.06,3122,23.79,-19,29,Blockchain,JavaScript,MongoDB,DigitalOcean,1516,12380,16.6,3.99,120.42,8589.66,29.39,48987.39,6,28163058.88,Serie B,2808569.45,8.35,https://conecta-crece.com/pitch/53,https://youtube.com/watch?v=pitch53,MVP
